## 5. Të Dhënat Eksperimentale

###  5.1 Distancat (cm)

| Nr. | Distanca (cm) |
|----:|--------------:|
| 1 | 27.3 |
| 2 | 17.5 |
| 3 | 24.6 |
| 4 | 12.8 |
| 5 | 13.0 |
| 6 | 18.5 |
| 7 | 25.0 |
| 8 | 12.5 |
| 9 | 18.3 |
| 10 | 18.0 |
| 11 | 16.5 |
| 12 | 15.0 |
| 13 | 13.5 |
| 14 | 9.6 |
| 15 | 21.0 |
| 16 | 9.0 |
| 17 | 10.0 |
| 18 | 12.5 |
| 19 | 16.9 |
| 20 | 15.3 |
| 21 | 12.0 |
| 22 | 11.9 |
| 23 | 11.5 |
| 24 | 18.7 |
| 25 | 12.5 |
| 26 | 15.5 |
| 27 | 12.0 |
| 28 | 12.0 |
| 29 | 19.4 |
| 30 | 12.9 |
| 31 | 14.5 |
| 32 | 14.0 |
| 33 | 16.5 |
| 34 | 13.5 |
| 35 | 11.6 |
| 36 | 12.3 |

**Numri i matjeve:** N = 36

### 5.2 Koha e Reagimit (s)

| Nr. | Koha (s) |
|----:|---------:|
| 1 | 0.091 |
| 2 | 0.224 |
| 3 | 0.177 |
| 4 | 0.730 |
| 5 | 0.222 |
| 6 | 0.220 |
| 7 | 0.101 |
| 8 | 0.145 |
| 9 | 0.147 |
| 10 | 0.117 |
| 11 | 0.099 |
| 12 | 0.118 |
| 13 | 0.087 |
| 14 | 0.089 |
| 15 | 0.118 |
| 16 | 0.099 |
| 17 | 0.117 |
| 18 | 0.091 |
| 19 | 0.126 |
| 20 | 0.092 |
| 21 | 0.187 |
| 22 | 0.214 |
| 23 | 0.184 |
| 24 | 0.071 |
| 25 | 0.117 |
| 26 | 0.060 |
| 27 | 0.208 |
| 28 | 0.196 |
| 29 | 0.179 |
| 30 | 0.181 |
| 31 | 0.107 |
| 32 | 0.102 |
| 33 | 0.103 |
| 34 | 0.084 |
| 35 | 0.099 |
| 36 | 0.087 |
| 37 | 0.231 |
| 38 | 0.226 |
| 39 | 0.206 |
| 40 | 0.154 |
| 41 | 0.114 |
| 42 | 0.140 |
| 43 | 0.238 |
| 44 | 0.101 |
| 45 | 0.027 |
| 46 | 0.107 |
| 47 | 0.032 |
| 48 | 0.245 |
| 49 | 0.072 |
| 50 | 0.104 |

**Numri i matjeve:** N = 50
