"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
5.926012993E-3,4.133891633E1,1.982275212E1,1.198964538E2,1.607274163E2,NaN,NaN,1.459483416E-4,2.699999280E1,3.204112527E1,-1.000000000E0
2.172601223E-2,4.133891505E1,1.982275248E1,1.200251999E2,1.608561590E2,NaN,NaN,2.215511640E-2,1.886257464E3,3.214021955E1,-1.000000000E0
4.697510004E-1,4.133909506E1,1.982286209E1,1.203012463E2,1.611335539E2,NaN,NaN,2.243847282E-2,4.573855097E1,3.081645011E1,-1.000000000E0
2.026714087E0,4.133909462E1,1.982285875E1,1.203012463E2,1.611335337E2,NaN,NaN,3.851992346E-2,4.575141799E1,3.032658004E1,-1.000000000E0
2.153912067E0,4.133895113E1,1.982283465E1,1.199509104E2,1.607824711E2,NaN,NaN,3.913300656E-2,3.199981453E1,3.013063202E1,-1.000000000E0
3.669989944E0,4.133894760E1,1.982284029E1,1.200056038E2,1.608371808E2,NaN,NaN,3.948376191E-2,8.403308296E1,1.920000000E2,-1.000000000E0
4.207126021E0,4.133894515E1,1.982284293E1,1.198755646E2,1.607071460E2,NaN,NaN,3.948376191E-2,8.984222548E1,1.920000053E2,-1.000000000E0
4.211526036E0,4.133894515E1,1.982284293E1,1.198755646E2,1.607071460E2,NaN,NaN,4.545773226E-2,8.984245548E1,1.920000053E2,-1.000000000E0
4.674003959E0,4.133899625E1,1.982282083E1,1.185635872E2,1.593952586E2,0.000000000E0,3.515625000E-1,4.914048964E-2,5.711298516E1,6.400000000E1,-1.000000000E0
5.663641095E0,4.133902775E1,1.982280720E1,1.185635872E2,1.593953140E2,0.000000000E0,3.515625000E-1,6.362615345E-2,1.485918994E1,3.000000000E0,-1.000000000E0
6.669519067E0,4.133891687E1,1.982271612E1,1.187657356E2,1.595965022E2,0.000000000E0,3.515625000E-1,6.362783601E-2,1.386191252E1,3.000000000E0,-1.000000000E0
7.668799996E0,4.133891686E1,1.982271610E1,1.187657356E2,1.595965021E2,0.000000000E0,3.515625000E-1,6.441655628E-2,1.381422840E1,3.000000000E0,-1.000000000E0
8.672983050E0,4.133891146E1,1.982270997E1,1.187657356E2,1.595964460E2,0.000000000E0,3.515625000E-1,6.841533624E-2,1.292287976E1,3.000000000E0,-1.000000000E0
9.663110137E0,4.133887603E1,1.982271818E1,1.186099739E2,1.594405828E2,0.000000000E0,3.515625000E-1,6.991829827E-2,9.568105088E0,3.000000000E0,-1.000000000E0
1.067072809E1,4.133886272E1,1.982272127E1,1.186099739E2,1.594405446E2,0.000000000E0,3.515625000E-1,7.296054854E-2,7.979025140E0,3.000000000E0,-1.000000000E0
1.167240512E1,4.133888941E1,1.982272927E1,1.194241219E2,1.602548471E2,0.000000000E0,3.515625000E-1,7.328810781E-2,7.958158650E0,3.000000000E0,-1.000000000E0
