"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
5.455017090E-3,4.133820994E1,1.981966576E1,1.195200000E2,1.603310587E2,NaN,NaN,4.897676102E-2,7.510224341E2,3.015869643E1,-1.000000000E0
4.653298855E-2,4.133838333E1,1.981912649E1,1.195200000E2,1.603288093E2,NaN,NaN,2.570939668E-1,8.744924565E2,3.018493297E1,-1.000000000E0
4.087270498E-1,4.133788929E1,1.982153088E1,1.197693408E2,1.605893327E2,NaN,NaN,2.796599565E-1,2.399097385E1,3.000000000E1,-1.000000000E0
4.610219359E0,4.133768927E1,1.982148523E1,1.262457771E2,1.670646900E2,0.000000000E0,NaN,3.037396454E-1,5.541959703E1,3.200000000E1,-1.000000000E0
5.862227082E0,4.133750619E1,1.982133118E1,1.207873421E2,1.616046499E2,0.000000000E0,NaN,3.213531261E-1,3.048886655E1,3.000000000E0,-1.000000000E0
6.862232566E0,4.133761077E1,1.982148964E1,1.207873421E2,1.616059543E2,0.000000000E0,NaN,3.218776019E-1,1.872249056E1,3.000000000E0,-1.000000000E0
7.862238407E0,4.133760754E1,1.982148506E1,1.207873421E2,1.616059157E2,0.000000000E0,NaN,3.222372989E-1,1.845955043E1,3.000000000E0,-1.000000000E0
8.862243652E0,4.133760533E1,1.982148191E1,1.207873421E2,1.616058893E2,0.000000000E0,NaN,3.228066045E-1,1.827703451E1,3.000000000E0,-1.000000000E0
9.857773781E0,4.133760182E1,1.982147694E1,1.207873421E2,1.616058474E2,0.000000000E0,NaN,3.230895600E-1,1.798437265E1,3.000000000E0,-1.000000000E0
1.085782218E1,4.133760008E1,1.982147447E1,1.207873421E2,1.616058266E2,0.000000000E0,NaN,3.234189355E-1,1.783712943E1,3.000000000E0,-1.000000000E0
1.185790718E1,4.133759805E1,1.982147159E1,1.207873421E2,1.616058024E2,0.000000000E0,NaN,3.274517359E-1,1.766418395E1,3.000000000E0,-1.000000000E0
1.285798562E1,4.133763192E1,1.982148889E1,1.207873421E2,1.616060377E2,0.000000000E0,NaN,3.275570853E-1,1.419031118E1,3.000000000E0,-1.000000000E0
1.385807180E1,4.133763121E1,1.982148805E1,1.207873421E2,1.616060302E2,0.000000000E0,NaN,3.276902588E-1,1.415370534E1,3.000000000E0,-1.000000000E0
1.485818589E1,4.133763032E1,1.982148698E1,1.207873421E2,1.616060206E2,0.000000000E0,NaN,3.277314932E-1,1.410729455E1,3.000000000E0,-1.000000000E0
1.585828793E1,4.133763004E1,1.982148665E1,1.207873421E2,1.616060177E2,0.000000000E0,NaN,3.277314946E-1,1.409289603E1,3.000000000E0,-1.000000000E0
1.685838389E1,4.133763004E1,1.982148665E1,1.207873421E2,1.616060177E2,0.000000000E0,NaN,3.278408053E-1,1.409289920E1,3.000000000E0,-1.000000000E0
1.785850334E1,4.133762931E1,1.982148578E1,1.207873421E2,1.616060099E2,0.000000000E0,NaN,3.342596977E-1,1.405465157E1,3.000000000E0,-1.000000000E0
1.885860109E1,4.133766151E1,1.982154959E1,1.207873421E2,1.616064942E2,0.000000000E0,NaN,3.343485849E-1,1.246572658E1,3.000000000E0,-1.000000000E0
1.985869205E1,4.133766094E1,1.982154884E1,1.207873421E2,1.616064877E2,0.000000000E0,NaN,3.403483559E-1,1.244466698E1,3.000000000E0,-1.000000000E0
2.085879910E1,4.133762301E1,1.982149773E1,1.207873421E2,1.616060496E2,0.000000000E0,NaN,3.404168886E-1,1.092944334E1,3.000000000E0,-1.000000000E0
2.185888314E1,4.133762257E1,1.982149715E1,1.207873421E2,1.616060445E2,0.000000000E0,NaN,3.441548554E-1,1.091092493E1,3.000000000E0,-1.000000000E0
2.285895455E1,4.133759894E1,1.982146531E1,1.207873421E2,1.616057716E2,0.000000000E0,NaN,3.467030129E-1,9.847987112E0,3.000000000E0,-1.000000000E0
2.385904860E1,4.133758283E1,1.982144361E1,1.207873421E2,1.616055855E2,0.000000000E0,NaN,3.485667743E-1,9.052124093E0,3.000000000E0,-1.000000000E0
2.485913658E1,4.133757104E1,1.982142774E1,1.207873421E2,1.616054494E2,0.000000000E0,NaN,3.485828842E-1,8.422534593E0,3.000000000E0,-1.000000000E0
2.585921943E1,4.133757094E1,1.982142760E1,1.207873421E2,1.616054482E2,0.000000000E0,NaN,3.485829688E-1,8.416893414E0,3.000000000E0,-1.000000000E0
