"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
5.225062370E-3,4.133891331E1,1.982279912E1,1.200648542E2,1.608960627E2,NaN,NaN,8.748379846E-3,2.694534968E1,3.000000000E1,-1.000000000E0
3.989100456E-2,4.133885011E1,1.982286154E1,1.201936689E2,1.610249592E2,NaN,NaN,2.157235728E-2,9.579861317E2,3.007114794E1,-1.000000000E0
4.132781029E-1,4.133896207E1,1.982282463E1,1.198267901E2,1.606583409E2,NaN,NaN,2.623589705E-2,2.499149719E1,3.000000000E1,-1.000000000E0
1.026115537E0,4.133892672E1,1.982279456E1,1.288566780E2,1.696879170E2,8.399999738E-1,1.655859375E2,2.683229496E-2,2.214318738E1,2.400000000E1,-1.000000000E0
2.613122106E0,4.133892142E1,1.982279560E1,1.207208138E2,1.615520365E2,8.399999738E-1,NaN,2.885416658E-2,2.067002746E1,6.000000000E0,-1.000000000E0
3.613127589E0,4.133890413E1,1.982280310E1,1.227120247E2,1.635432171E2,3.799999952E-1,9.597656250E1,3.036538658E-2,2.302277329E1,6.000000000E0,-1.000000000E0
4.613132954E0,4.133890389E1,1.982278500E1,1.237626228E2,1.645937147E2,3.799999952E-1,2.025000000E2,3.130545136E-2,2.250389443E1,6.000000000E0,-1.000000000E0
5.613138318E0,4.133890715E1,1.982277462E1,1.225188484E2,1.633498967E2,2.079999924E0,1.912500000E2,4.171921750E-2,2.250287682E1,6.000000000E0,-1.000000000E0
6.611686945E0,4.133888175E1,1.982265456E1,1.225656624E2,1.633959449E2,3.170000076E0,2.865234375E2,4.371410451E-2,1.875926132E1,4.000000000E0,-1.000000000E0
7.611683846E0,4.133888639E1,1.982263148E1,1.230559578E2,1.638861325E2,2.759999990E0,2.991796875E2,4.551260917E-2,1.901959186E1,4.000000000E0,-1.000000000E0
8.611697793E0,4.133888681E1,1.982260995E1,1.227338142E2,1.635638722E2,2.759999990E0,1.782421875E2,4.623991213E-2,1.932568415E1,4.000000000E0,-1.000000000E0
9.611703157E0,4.133888168E1,1.982260455E1,1.228093147E2,1.636393218E2,1.580000043E0,2.000390625E2,4.732325718E-2,1.915454451E1,4.000000000E0,-1.000000000E0
1.061171651E1,4.133887239E1,1.982260064E1,1.225890388E2,1.634189859E2,7.500000000E-1,1.940625000E2,4.958079093E-2,1.933289141E1,4.000000000E0,-1.000000000E0
1.161173832E1,4.133888468E1,1.982262216E1,1.226086922E2,1.634388085E2,7.500000000E-1,2.316796875E2,5.077463812E-2,1.482279108E1,4.000000000E0,-1.000000000E0
1.261174917E1,4.133887563E1,1.982261445E1,1.232712288E2,1.641012653E2,5.799999833E-1,2.225390625E2,5.112097477E-2,1.279192883E1,4.000000000E0,-1.000000000E0
1.361175799E1,4.133887335E1,1.982261162E1,1.232712288E2,1.641012403E2,5.799999833E-1,NaN,5.469154597E-2,1.311771894E1,4.000000000E0,-1.000000000E0
1.461178029E1,4.133890346E1,1.982262649E1,1.231832162E2,1.640134341E2,5.799999833E-1,2.598046830E2,5.578386278E-2,2.209694969E1,4.000000000E0,-1.000000000E0
1.561179054E1,4.133890142E1,1.982261369E1,1.222590218E2,1.630891609E2,7.799999714E-1,2.517187442E2,5.633801902E-2,2.214781328E1,4.000000000E0,-1.000000000E0
1.661179757E1,4.133890037E1,1.982260720E1,1.219451180E2,1.627752171E2,7.799999714E-1,2.478515568E2,5.695581121E-2,2.208264711E1,4.000000000E0,-1.000000000E0
1.761181486E1,4.133889484E1,1.982260795E1,1.219030648E2,1.627331450E2,6.299999952E-1,2.130468723E2,6.020730553E-2,2.224223625E1,4.000000000E0,-1.000000000E0
1.861182141E1,4.133888179E1,1.982257309E1,1.223497811E2,1.631796155E2,3.899999857E-1,NaN,6.243256839E-2,1.867764179E1,4.000000000E0,-1.000000000E0
1.961182845E1,4.133888930E1,1.982259780E1,1.221680794E2,1.629980809E2,6.299999952E-1,2.257031214E2,6.308116891E-2,2.212939850E1,4.000000000E0,-1.000000000E0
2.061184835E1,4.133888674E1,1.982259082E1,1.219203377E2,1.627502902E2,6.299999952E-1,2.446874955E2,6.332106200E-2,2.204682038E1,4.000000000E0,-1.000000000E0
2.161186719E1,4.133888466E1,1.982259003E1,1.225852547E2,1.634151942E2,5.699999928E-1,2.397656211E2,6.434104132E-2,2.209535045E1,3.000000000E0,-1.000000000E0
2.261188495E1,4.133888581E1,1.982257791E1,1.218074837E2,1.626373613E2,5.699999928E-1,2.759765580E2,6.739767942E-2,2.176776651E1,3.000000000E0,-1.000000000E0
2.361190248E1,4.133887076E1,1.982254728E1,1.221734508E2,1.630030975E2,1.850000024E0,2.436327994E2,6.987974576E-2,2.211988390E1,3.000000000E0,-1.000000000E0
2.461191952E1,4.133885002E1,1.982253628E1,1.221355479E2,1.629650483E2,1.850000024E0,2.211328029E2,7.138663641E-2,2.266752296E1,4.000000000E0,-1.000000000E0
2.561193633E1,4.133883660E1,1.982253370E1,1.216851085E2,1.625145391E2,1.840000033E0,2.046093690E2,7.168408031E-2,2.229807358E1,3.000000000E0,-1.000000000E0
2.661195183E1,4.133883552E1,1.982253696E1,1.216652718E2,1.624947159E2,7.900000215E-1,1.982812480E2,7.234336345E-2,2.221516678E1,4.000000000E0,-1.000000000E0
2.761196697E1,4.133883385E1,1.982252938E1,1.221473885E2,1.629767840E2,5.500000119E-1,2.232421845E2,7.333666805E-2,2.205392798E1,3.000000000E0,-1.000000000E0
