"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.662108332E-2,4.908796310E0,-4.590612030E1,-3.701400757E0,4.631596409E1
3.661008336E-2,4.942777634E0,-4.611299896E1,-3.673912048E0,4.652243925E1
4.659908335E-2,5.005033493E0,-4.612784576E1,-3.733535767E0,4.654855319E1
5.658708332E-2,5.211733818E0,-4.619702911E1,-3.689575195E0,4.663625878E1
6.657608337E-2,5.378361702E0,-4.604353714E1,-3.596450806E0,4.649589816E1
7.656508335E-2,5.618703842E0,-4.597978592E1,-3.598663330E0,4.646139175E1
8.655408333E-2,5.859613419E0,-4.575773239E1,-3.483512878E0,4.626272803E1
9.654308332E-2,6.103434563E0,-4.579688263E1,-3.678115845E0,4.634797631E1
1.065320834E-1,6.250975609E0,-4.568825531E1,-3.871055603E0,4.627608930E1
1.165210833E-1,6.340641975E0,-4.566500854E1,-3.845130920E0,4.626317950E1
1.265100833E-1,6.502177238E0,-4.568085480E1,-3.878051758E0,4.630397488E1
1.364990834E-1,6.602262497E0,-4.558614731E1,-4.001564026E0,4.623525939E1
1.464870833E-1,6.673385620E0,-4.563463211E1,-4.243850708E0,4.631483555E1
1.564760833E-1,6.746719360E0,-4.560068130E1,-4.468704224E0,4.631316956E1
1.664650834E-1,6.922635078E0,-4.535026932E1,-4.818199158E0,4.612791830E1
1.764540834E-1,7.253875732E0,-4.545756149E1,-5.077476501E0,4.631187081E1
1.864430833E-1,7.700879097E0,-4.528153610E1,-5.250045776E0,4.623076931E1
1.964320833E-1,7.932317734E0,-4.525126648E1,-5.458732605E0,4.626441985E1
2.064210834E-1,8.297494888E0,-4.513872910E1,-5.958465576E0,4.628019660E1
2.164100833E-1,8.727390289E0,-4.502781296E1,-6.091964722E0,4.626859967E1
2.263990833E-1,9.135905266E0,-4.493313980E1,-6.386810303E0,4.629517430E1
2.363880834E-1,9.546440125E0,-4.473913956E1,-6.561988831E0,4.621455209E1
2.463760833E-1,9.918469429E0,-4.465203094E1,-6.865776062E0,4.625277056E1
2.563650833E-1,1.017215538E1,-4.453775024E1,-6.927825928E0,4.620691197E1
2.663540833E-1,1.056827736E1,-4.434897614E1,-7.029083252E0,4.612947195E1
2.763430834E-1,1.100234127E1,-4.418464661E1,-7.288078308E0,4.611345351E1
2.863320833E-1,1.150306129E1,-4.393269348E1,-7.626533508E0,4.604960357E1
2.963210833E-1,1.194679356E1,-4.377195358E1,-7.876930237E0,4.605166475E1
3.063100834E-1,1.221446800E1,-4.368756866E1,-8.229141235E0,4.610331496E1
3.162990834E-1,1.249785233E1,-4.363618851E1,-8.589546204E0,4.619625054E1
3.262870833E-1,1.259403610E1,-4.363856506E1,-8.789390564E0,4.626216048E1
