"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.275499996E-3,1.866772270E1,8.726961136E0,-3.752095795E1,4.280731254E1
1.626349997E-2,1.867820549E1,8.740449905E0,-3.751456451E1,4.280903381E1
2.625149995E-2,1.860244560E1,8.793825150E0,-3.755654144E1,4.282378017E1
3.623949998E-2,1.862105751E1,8.831779480E0,-3.754976654E1,4.283373762E1
4.622749996E-2,1.881099892E1,8.695783615E0,-3.760146332E1,4.293413999E1
5.621549999E-2,1.881787872E1,8.835969925E0,-3.754685211E1,4.291798024E1
6.620349997E-2,1.911949158E1,8.777187347E0,-3.757836151E1,4.306654421E1
7.619149995E-2,1.953466988E1,8.862488747E0,-3.737006378E1,4.308907867E1
8.617949998E-2,1.976342201E1,8.959488869E0,-3.728192902E1,4.313707827E1
9.616749996E-2,1.992777634E1,9.103046417E0,-3.681995392E1,4.284496155E1
1.061563333E-1,2.038022423E1,8.988197327E0,-3.679818726E1,4.301450704E1
1.161443333E-1,2.048899078E1,9.290318489E0,-3.647406006E1,4.285400586E1
1.261323333E-1,2.080279160E1,9.319040298E0,-3.658119202E1,4.310202153E1
1.361203333E-1,2.095555687E1,9.630220413E0,-3.641583252E1,4.310440078E1
1.461083333E-1,2.108759689E1,9.663081169E0,-3.640859985E1,4.316998985E1
1.560963333E-1,2.130455971E1,9.670075417E0,-3.606478882E1,4.298911043E1
1.660843333E-1,2.150545120E1,9.889065742E0,-3.613883972E1,4.320062255E1
1.760723333E-1,2.158654976E1,1.003360271E1,-3.606990051E1,4.321677958E1
1.860603333E-1,2.192407799E1,1.008961773E1,-3.617063904E1,4.348310833E1
1.960483333E-1,2.209266663E1,1.015386295E1,-3.602119446E1,4.345932928E1
2.060363333E-1,2.213293076E1,1.002097225E1,-3.574644470E1,4.322146246E1
2.160243333E-1,2.218221474E1,1.022989559E1,-3.564466858E1,4.321161664E1
2.260123333E-1,2.218221474E1,1.022989559E1,-3.564466858E1,4.321161664E1
2.360003333E-1,2.221530151E1,1.030644035E1,-3.569290161E1,4.328655172E1
2.459893333E-1,2.242954636E1,1.032128334E1,-3.550866699E1,4.324903318E1
2.559773333E-1,2.245037270E1,1.040682125E1,-3.537942505E1,4.317435442E1
2.659653333E-1,2.257982635E1,1.053086185E1,-3.527658081E1,4.318778489E1
2.759533333E-1,2.276816750E1,1.070153999E1,-3.501416016E1,4.311500691E1
2.859413333E-1,2.278266907E1,1.077101040E1,-3.505931091E1,4.317661354E1
2.959293333E-1,2.282267761E1,1.083046150E1,-3.517138672E1,4.330357899E1
3.059173333E-1,2.289613342E1,1.099861240E1,-3.499755859E1,4.324386093E1
3.159053333E-1,2.283492851E1,1.135938740E1,-3.495220947E1,4.326807818E1
3.258933333E-1,2.265215302E1,1.149823189E1,-3.488902283E1,4.315754032E1
3.358813333E-1,2.239760971E1,1.156085777E1,-3.494276428E1,4.308483641E1
3.458693333E-1,2.198125648E1,1.174231720E1,-3.492465210E1,4.290441672E1
3.558573333E-1,2.185508919E1,1.163896084E1,-3.514375305E1,4.299062353E1
3.658463333E-1,2.155896568E1,1.162204266E1,-3.531768799E1,4.297906422E1
3.758343333E-1,2.144248390E1,1.168509293E1,-3.561856079E1,4.318568496E1
3.858223333E-1,2.118063164E1,1.154500675E1,-3.580549622E1,4.317337023E1
3.958103333E-1,2.099370384E1,1.139496136E1,-3.596929932E1,4.317836540E1
4.057983333E-1,2.075521088E1,1.118207550E1,-3.597803497E1,4.301437657E1
4.157863333E-1,2.068782806E1,1.097018909E1,-3.628232574E1,4.318261734E1
4.257743333E-1,2.066348648E1,1.088065147E1,-3.593361664E1,4.285549037E1
4.357623333E-1,2.068651199E1,1.068822956E1,-3.610131073E1,4.295898819E1
4.457503333E-1,2.082829666E1,1.047659683E1,-3.606089020E1,4.294141154E1
4.557383333E-1,2.121228790E1,9.834046364E0,-3.610889435E1,4.301769260E1
4.657263333E-1,2.130521202E1,9.272701263E0,-3.604175568E1,4.288243463E1
4.757143333E-1,2.164252472E1,8.508922577E0,-3.622914886E1,4.305057337E1
4.857023333E-1,2.167615318E1,7.899676800E0,-3.628662109E1,4.299976024E1
4.956903333E-1,2.198885345E1,6.930646896E0,-3.645564270E1,4.313417934E1
5.056793333E-1,2.214771271E1,6.175897598E0,-3.636463165E1,4.302382276E1
5.156673333E-1,2.222686577E1,5.138551712E0,-3.653557587E1,4.307303773E1
5.256553333E-1,2.228226662E1,4.272121906E0,-3.649246216E1,4.297034123E1
5.356433333E-1,2.220523643E1,3.378746986E0,-3.647354126E1,4.283465499E1
5.456313333E-1,2.224829674E1,2.448322296E0,-3.654712677E1,4.285642851E1
5.556193333E-1,2.224398422E1,1.433054924E0,-3.662494659E1,4.287464511E1
5.656073333E-1,2.240762901E1,3.891105652E-1,-3.652239990E1,4.285019183E1
5.755953333E-1,2.288101196E1,-7.628469467E-1,-3.621176147E1,4.284173564E1
5.855833333E-1,2.303254509E1,-1.776045799E0,-3.581043243E1,4.261501547E1
5.955713333E-1,2.332033539E1,-2.978553772E0,-3.571425629E1,4.275766513E1
6.055593333E-1,2.330769730E1,-4.117594719E0,-3.575689697E1,4.288075350E1
6.155473333E-1,2.334449005E1,-5.154524803E0,-3.563476562E1,4.291119741E1
6.255353333E-1,2.314632797E1,-5.971137047E0,-3.528488922E1,4.261960093E1
6.355243333E-1,2.319961929E1,-6.920552254E0,-3.522867584E1,4.274547906E1
